id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label
352,1,172.41.10.1,02:42:ac:29:0a:01,02:42:ac,54167,172.41.0.12,02:42:ac:29:00:0c,02:42:ac,4997,17,4,0,0,1725263430653,1725263431390,737,56,6236,1725263430653,1725263431390,737,11,1159,1725263430653,1725263430898,245,45,5077,59,111.357142857143,38.5705627608454,157,67,105.363636363636,27.4527693585646,144,59,112.822222222222,40.9530157003058,157,0,13.4,67.5756366353042,492,0,73.7,180.978850820875,583,0,5.56818181818182,17.6943003926343,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
353,0,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,51749,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263436379,1725263436379,0,2,126,1725263436379,1725263436379,0,1,67,1725263436379,1725263436379,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
354,1,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,50218,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263430192,1725263430840,648,35,3871,1725263430192,1725263430840,648,13,1447,1725263430192,1725263430423,231,22,2424,59,110.6,35.1895706474652,157,67,111.307692307692,28.9579713129926,144,59,110.181818181818,39.0538533720229,157,0,19.0588235294118,44.5407142153828,211,0,54,70.2424373153438,211,0,11,20.1593650693666,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
355,0,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,60975,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263436388,1725263436388,0,2,126,1725263436388,1725263436388,0,1,67,1725263436388,1725263436388,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
356,0,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,45214,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263435374,1725263435374,0,2,126,1725263435374,1725263435374,0,1,67,1725263435374,1725263435374,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
357,0,172.41.10.1,02:42:ac:29:0a:01,02:42:ac,58692,172.41.0.12,02:42:ac:29:00:0c,02:42:ac,4997,17,4,0,0,1725263433792,1725263433793,1,2,126,1725263433792,1725263433792,0,1,67,1725263433793,1725263433793,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
358,0,172.41.10.4,02:42:ac:29:0a:04,02:42:ac,56531,172.41.0.15,02:42:ac:29:00:0f,02:42:ac,4997,17,4,0,0,1725263436568,1725263436568,0,2,126,1725263436568,1725263436568,0,1,67,1725263436568,1725263436568,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
359,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,37699,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263430849,1725263431249,400,4,414,1725263430849,1725263431249,400,3,355,1725263430849,1725263430849,0,1,59,59,103.5,46.8792775826022,144,67,118.333333333333,44.4559707276012,144,59,59,0,59,0,133.333333333333,122.202018532156,240,160,200,56.5685424949238,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
360,1,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,36741,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263430189,1725263430802,613,60,6751,1725263430189,1725263430802,613,13,1447,1725263430189,1725263430381,192,47,5304,59,112.516666666667,38.509295231269,157,67,111.307692307692,28.9579713129926,144,59,112.851063829787,41.0217220948399,157,0,10.3898305084746,37.7482664361729,237,0,51.0833333333333,73.9747602329007,237,0,4.17391304347826,16.9761981711992,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
361,1,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,46746,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263430190,1725263430813,623,43,4791,1725263430190,1725263430813,623,12,1303,1725263430190,1725263430464,274,31,3488,59,111.418604651163,37.0123740943739,157,67,108.583333333333,28.452379141082,144,59,112.516129032258,40.2068575972988,157,0,14.8333333333333,43.4123263751301,253,0,56.6363636363636,86.0595987990564,296,0,9.13333333333333,20.2394857051555,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
362,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,40479,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263436399,1725263436657,258,3,242,1725263436399,1725263436657,258,2,183,1725263436399,1725263436399,0,1,59,59,80.6666666666667,30.8598984660244,116,67,91.5,34.6482322781408,116,59,59,0,59,0,129,182.433549546129,258,258,258,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
363,0,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,55939,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263435378,1725263435378,0,2,126,1725263435378,1725263435378,0,1,67,1725263435378,1725263435378,0,1,59,59,63,5.65685424949238,67,67,67,0,67,59,59,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
364,0,172.42.0.90,02:42:ac:29:00:0c,02:42:ac,54188,172.41.0.55,02:42:ac:29:00:08,02:42:ac,80,6,4,0,1,1725263436504,1725263436505,1,10,1461,1725263436504,1725263436505,1,6,743,1725263436504,1725263436505,1,4,718,110,146.1,85.3885888811328,380,110,123.833333333333,30.1358037335437,185,110,179.5,133.719856416315,380,0,0.111111111111111,0.333333333333333,1,0,0.2,0.447213595499958,1,0,0.333333333333333,0.577350269189626,1,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,benign
365,0,172.42.0.83,02:42:ac:29:00:0c,02:42:ac,54978,172.41.0.55,02:42:ac:29:00:08,02:42:ac,80,6,4,0,1,1725263436597,1725263436598,1,10,1461,1725263436597,1725263436598,1,6,743,1725263436597,1725263436598,1,4,718,110,146.1,85.3885888811328,380,110,123.833333333333,30.1358037335437,185,110,179.5,133.719856416315,380,0,0.111111111111111,0.333333333333333,1,0,0.2,0.447213595499958,1,0,0.333333333333333,0.577350269189626,1,2,0,0,0,9,2,0,2,1,0,0,0,5,1,0,1,1,0,0,0,4,1,0,1,benign
366,1,172.41.10.3,02:42:ac:29:0a:03,02:42:ac,38903,172.41.0.14,02:42:ac:29:00:0e,02:42:ac,4997,17,4,0,0,1725263430833,1725263431345,512,4,414,1725263430833,1725263431345,512,3,355,1725263430866,1725263430866,0,1,59,59,103.5,46.8792775826022,144,67,118.333333333333,44.4559707276012,144,59,59,0,59,0,170.666666666667,267.533798487842,479,33,256,315.3696244092,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
367,1,172.41.10.5,02:42:ac:29:0a:05,02:42:ac,53304,172.41.0.16,02:42:ac:29:00:10,02:42:ac,4997,17,4,0,0,1725263430391,1725263431238,847,6,698,1725263430391,1725263431238,847,5,639,1725263430391,1725263430391,0,1,59,59,116.333333333333,41.4181924601577,144,67,127.8,34.0323375629709,144,59,59,0,59,0,169.4,177.60855835235,472,124,211.75,173.50192121895,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
368,1,172.41.10.2,02:42:ac:29:0a:02,02:42:ac,48174,172.41.0.13,02:42:ac:29:00:0d,02:42:ac,4997,17,4,0,0,1725263430192,1725263431153,961,37,4098,1725263430192,1725263431153,961,13,1447,1725263430192,1725263430484,292,24,2651,59,110.756756756757,35.6412724281878,157,67,111.307692307692,28.9579713129926,144,59,110.458333333333,39.3766419027351,157,0,26.6944444444445,67.0989969882218,344,0,80.0833333333333,113.033750658283,391,0,12.695652173913,21.7891440497091,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,background
