RequestMessages,SuccessfulResponseMessages,RequestResponseRatio,RegistrationRate,PDURequestRate,RequestIAT,ProcedureCodeNumber,ProcedureCodeRate,label
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
5,0,0,5,0,0.018,74,74,benign
0,5,0,0,5,0,35,35,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
7,7,1,7,5,0.02,77,77,benign
0,0,0,0,2,0,7,7,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
8,8,1,8,8,0.01,144,144,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
4,4,1,4,4,0.024,48,48,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,4,4,benign
10,10,1,10,7,0.01,158,158,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
5,5,1,5,5,0.026,66,66,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
7,7,1,7,5,0.016,127,127,benign
0,0,0,0,0,0,1,1,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
7,6,0.857,7,4,0.007,77,77,benign
0,1,0,0,3,0,11,11,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
0,0,0,0,0,0,0,0,benign
